Gene Group 1	Enrichment Score: 15.135760912085946
209551_at	"Yip1 domain family, member 4"
221516_s_at	"Smith-Magenis syndrome chromosome region, candidate 7-like"
228819_at	tetraspanin 18
228981_at	transmembrane protein 169
56256_at	"SID1 transmembrane family, member 2"
212158_at	syndecan 2
"222934_s_at, 219859_at"	"C-type lectin domain family 4, member E"
"205668_at, 203799_at"	CD302 molecule; lymphocyte antigen 75
"229390_at, 229391_s_at"	"family with sequence similarity 26, member F"
1552386_at	"GRB2-binding adaptor protein, transmembrane"
218531_at	transmembrane protein 134
1552302_at	hypothetical LOC728772; transmembrane protein 106A
220945_x_at	MANSC domain containing 1
1569335_a_at	stimulated by retinoic acid gene 6 homolog (mouse)
1559132_at	transmembrane protein 80
212090_at	"glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)"
209446_s_at	chromosome 7 open reading frame 44
"225711_at, 225707_at"	ADP-ribosylation-like factor 6 interacting protein 6
1555651_at	"olfactory receptor, family 10, subfamily A, member 5"
"228437_at, 218728_s_at, 228306_at, 223993_s_at, 243051_at"	cornichon homolog 4 (Drosophila)
204122_at	TYRO protein tyrosine kinase binding protein
225698_at	chromosome 5 open reading frame 26
231008_at	unc-5 homolog C (C. elegans)-like
226244_at	"C-type lectin domain family 14, member A"
232513_x_at	chromosome 20 open reading frame 107
242424_at	LETM1 domain containing 1
229810_at	klotho beta
235548_at	adenomatosis polyposis coli down-regulated 1-like
213609_s_at	seizure related 6 homolog (mouse)-like
219329_s_at	chromosome 2 open reading frame 28
222752_s_at	transmembrane protein 206
219761_at	"C-type lectin domain family 1, member A"
1567624_at	triggering receptor expressed on myeloid cells-like 2 pseudogene; triggering receptor expressed on myeloid cells-like 2
201631_s_at	immediate early response 3
230161_at	CD99 molecule
219892_at	transmembrane 6 superfamily member 1
"224708_at, 224706_at"	KIAA2013; hypothetical LOC728138
1569003_at	transmembrane protein 49
220495_s_at	thioredoxin domain containing 15
225794_s_at	chromosome 22 open reading frame 32
217209_at	carcinoembryonic antigen-related cell adhesion molecule 3
"205988_at, 244352_at, 211192_s_at"	CD84 molecule
1568718_at	"solute carrier family 22, member 23"
210006_at	abhydrolase domain containing 14A
"1555736_a_at, 225059_at, 238135_at"	angiotensin II receptor-associated protein
212343_at	"Yip1 domain family, member 6"
244780_at	sphingosine-1-phosphate phosphotase 2
207996_s_at	chromosome 18 open reading frame 1
218146_at	glycosyltransferase 8 domain containing 1
235245_at	transmembrane protein 92
209329_x_at	"HIG1 hypoxia inducible domain family, member 2A"
"236172_at, 210128_s_at"	leukotriene B4 receptor
"225599_s_at, 1562066_at, 225600_at"	chromosome 8 open reading frame 83
224676_at	transmembrane emp24 protein transport domain containing 4
"222787_s_at, 226529_at"	transmembrane protein 106B
223458_at	seizure related 6 homolog (mouse)-like 2
209263_x_at	tetraspanin 4
220998_s_at	unc-93 homolog B1 (C. elegans); unc-93 homolog B6 (C. elegans); unc-93 homolog B3 pseudogene (C. elegans); similar to unc-93 homolog B1 (C. elegans)
238429_at	transmembrane protein 71
214104_at	G protein-coupled receptor 161
232267_at	G protein-coupled receptor 133
220178_at	chromosome 19 open reading frame 28
204897_at	prostaglandin E receptor 4 (subtype EP4)
205707_at	interleukin 17 receptor A
223304_at	"solute carrier family 37 (glycerol-3-phosphate transporter), member 3"
202699_s_at	transmembrane protein 63A
"235907_at, 218465_at, 222642_s_at"	transmembrane protein 33
216084_at	hypothetical protein LOC259308; chromosome 9 open reading frame 144
214749_s_at	"similar to armadillo repeat containing, X-linked 6; armadillo repeat containing, X-linked 6"
"219607_s_at, 224357_s_at, 1555728_a_at"	"membrane-spanning 4-domains, subfamily A, member 4"
235197_s_at	osteopetrosis associated transmembrane protein 1
204215_at	chromosome 7 open reading frame 23
"222893_s_at, 219504_s_at"	RNA polymerase II associated protein 2
219283_at	C1GALT1-specific chaperone 1
"217845_x_at, 221896_s_at"	"similar to HIG1 domain family, member 1A; HIG1 hypoxia inducible domain family, member 1A; HIG1 hypoxia inducible domain family, member 1D"
205684_s_at	DENN/MADD domain containing 4C
232591_s_at	transmembrane protein 30A
215492_x_at	pre T-cell antigen receptor alpha
227769_at	G protein-coupled receptor 27
241176_at	KIAA0408; chromosome 6 open reading frame 174
226805_at	fat storage-inducing transmembrane protein 2
201315_x_at	interferon induced transmembrane protein 2 (1-8D)
202771_at	"family with sequence similarity 38, member A"
200620_at	transmembrane protein 59
203437_at	transmembrane protein 11
203904_x_at	CD82 molecule
224755_at	transmembrane 9 superfamily member 3
230360_at	gliomedin
227856_at	chromosome 4 open reading frame 32
224290_at	vomeronasal 1 receptor 3 pseudogene
"226142_at, 214085_x_at"	GLI pathogenesis-related 1
225462_at	transmembrane protein 128
1560878_at	synaptotagmin XV
206682_at	"C-type lectin domain family 10, member A"
203416_at	CD53 molecule
220513_at	KH homology domain containing 1; hypothetical protein LOC100129128
"210542_s_at, 219229_at, 229776_at, 227367_at"	"solute carrier organic anion transporter family, member 3A1"
"215838_at, 1555643_s_at"	"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5"
221756_at	phosphoinositide-3-kinase interacting protein 1
1552501_a_at	G protein-coupled bile acid receptor 1
"226818_at, 226841_at"	macrophage expressed 1
212314_at	KIAA0746 protein
229957_at	transmembrane protein 91
1553319_at	oxoglutarate (alpha-ketoglutarate) receptor 1
224698_at	"family with sequence similarity 62 (C2 domain containing), member B"
222156_x_at	cell cycle progression 1

Gene Group 54	Enrichment Score: 8.59382995584425E-9
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
219652_s_at	chromosome X open reading frame 36
226067_at	chromosome 20 open reading frame 114
218454_at	phospholipase B domain containing 1
228087_at	coiled-coil domain containing 126
230445_at	BTB (POZ) domain containing 17
227968_at	Parkinson disease 7 domain containing 1
"242945_at, 226804_at"	"family with sequence similarity 20, member A"
218584_at	tectonic family member 1
239028_at	LY6/PLAUR domain containing 6
226747_at	thioredoxin domain containing 16
243011_at	"family with sequence similarity 55, member C"
236953_s_at	NHL repeat containing 3
